               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086466,            0.031788,            0.041598,           0.0027917,             0.84333,            0.013285,           0.0033847,            0.042059,            0.019403,            0.029392,              0.0865,              0.0015,              0.0015
                   1,            0.067534,            0.030781,            0.043205,           0.0032844,                0.99,             0.12409,            0.040219,            0.036675,            0.015979,            0.027809,            0.072069,           0.0030693,           0.0030693
                   2,            0.047937,            0.027108,            0.036594,            0.088027,                0.27,             0.10861,            0.050108,            0.033277,            0.013173,             0.02636,            0.057607,           0.0046069,           0.0046069
                   3,            0.051019,            0.021599,            0.040477,             0.14814,                0.43,             0.28152,             0.11855,            0.031361,            0.010646,            0.025093,            0.043113,           0.0061129,           0.0061129
                   4,            0.046369,            0.019956,             0.03933,              0.1154,             0.49667,             0.14201,            0.047453,            0.036941,           0.0083385,            0.025627,            0.028587,           0.0075872,           0.0075872
                   5,            0.046388,            0.019307,            0.035103,              0.1542,                0.45,             0.32991,             0.15813,            0.034452,           0.0081537,             0.02879,             0.01403,           0.0090297,           0.0090297
                   6,            0.053343,             0.01704,            0.033552,             0.27208,             0.24667,             0.25678,             0.12202,            0.037165,           0.0064836,            0.026413,            0.009406,            0.009406,            0.009406
                   7,            0.047282,            0.019903,            0.031145,             0.37069,             0.48333,             0.41817,              0.2401,            0.027701,           0.0076085,            0.022112,            0.009406,            0.009406,            0.009406
                   8,            0.041612,            0.016592,            0.030258,             0.18473,                0.43,             0.39536,             0.21968,            0.033239,           0.0062666,            0.018991,            0.009307,            0.009307,            0.009307
                   9,             0.04351,            0.017084,            0.029656,             0.35945,             0.47667,             0.48981,             0.24779,            0.034734,           0.0065393,            0.018967,            0.009208,            0.009208,            0.009208
                  10,            0.040424,            0.016396,            0.027328,             0.39795,             0.49877,             0.46623,             0.20006,            0.041076,           0.0062881,            0.019993,            0.009109,            0.009109,            0.009109
                  11,            0.043827,            0.015094,            0.029541,             0.38259,             0.52819,             0.51599,             0.21557,            0.034764,           0.0063217,            0.019577,             0.00901,             0.00901,             0.00901
                  12,             0.04143,            0.015128,            0.027777,             0.65647,             0.48688,             0.54661,             0.20569,            0.042088,           0.0052266,            0.013738,            0.008911,            0.008911,            0.008911
                  13,            0.044731,            0.014387,            0.026241,             0.34725,                0.74,             0.53917,             0.27705,            0.024312,           0.0060389,            0.014364,            0.008812,            0.008812,            0.008812
                  14,            0.039072,            0.016163,            0.024733,              0.4611,             0.58997,             0.57555,              0.2747,            0.024054,           0.0061569,            0.015858,            0.008713,            0.008713,            0.008713
                  15,            0.037939,            0.014631,            0.023185,             0.40705,                0.75,             0.61396,             0.27556,            0.024117,           0.0061985,            0.012089,            0.008614,            0.008614,            0.008614
                  16,            0.036492,            0.014219,            0.019678,             0.47961,             0.82333,             0.60776,             0.30977,             0.02133,           0.0058891,            0.010888,            0.008515,            0.008515,            0.008515
                  17,             0.03699,            0.014135,            0.018438,             0.46611,             0.82326,             0.61409,             0.32357,            0.026504,           0.0054156,             0.01882,            0.008416,            0.008416,            0.008416
                  18,            0.037712,            0.013642,            0.018199,              0.5271,             0.93667,             0.61684,             0.33761,            0.023511,           0.0059431,             0.02033,            0.008317,            0.008317,            0.008317
                  19,            0.039341,             0.01377,            0.018544,             0.52013,             0.89592,             0.61655,             0.34824,            0.019944,           0.0056666,           0.0098257,            0.008218,            0.008218,            0.008218
                  20,            0.035199,            0.013673,            0.018384,             0.48038,             0.87084,             0.63264,             0.36832,            0.019554,           0.0052732,            0.011704,            0.008119,            0.008119,            0.008119
                  21,            0.043227,            0.013334,            0.016788,             0.55635,             0.54808,             0.62116,              0.3866,            0.025331,           0.0054755,            0.013546,             0.00802,             0.00802,             0.00802
                  22,            0.036587,            0.013617,            0.016257,             0.42543,             0.83747,             0.64703,             0.36327,            0.026967,           0.0056444,            0.014061,            0.007921,            0.007921,            0.007921
                  23,             0.03308,            0.013166,             0.01657,             0.50212,             0.95333,             0.69023,             0.42794,            0.030273,           0.0049405,            0.011092,            0.007822,            0.007822,            0.007822
                  24,            0.031823,            0.012113,            0.015242,             0.57943,             0.89466,             0.62288,             0.38008,            0.020043,           0.0055557,            0.010943,            0.007723,            0.007723,            0.007723
                  25,            0.035211,            0.013505,            0.015971,             0.51764,             0.88342,             0.66029,             0.39798,            0.019131,           0.0057237,            0.013484,            0.007624,            0.007624,            0.007624
                  26,            0.036062,            0.012288,             0.01433,             0.48015,             0.82263,             0.66782,             0.41086,            0.017766,           0.0051009,           0.0092702,            0.007525,            0.007525,            0.007525
                  27,            0.026194,            0.012351,            0.012993,             0.42753,             0.67615,             0.54706,             0.29988,            0.028176,             0.01001,           0.0098033,            0.007426,            0.007426,            0.007426
                  28,             0.03708,            0.012353,            0.015716,             0.45722,                0.75,             0.56386,             0.32801,            0.024074,           0.0087745,           0.0083756,            0.007327,            0.007327,            0.007327
                  29,            0.038237,            0.012765,            0.011766,             0.51228,             0.73503,                0.59,             0.38446,             0.01971,           0.0079439,           0.0077621,            0.007228,            0.007228,            0.007228
                  30,            0.030756,             0.01244,            0.014103,             0.67622,             0.61667,             0.62157,              0.3447,            0.031985,           0.0068515,            0.010446,            0.007129,            0.007129,            0.007129
                  31,            0.034644,            0.012341,            0.011857,             0.62445,             0.74684,             0.67745,             0.40669,            0.019628,           0.0064414,           0.0090961,             0.00703,             0.00703,             0.00703
                  32,            0.032371,            0.012781,            0.012125,             0.53448,             0.80252,             0.61752,             0.35605,            0.019482,           0.0061768,           0.0087991,            0.006931,            0.006931,            0.006931
                  33,            0.033866,            0.013211,            0.010522,             0.50825,             0.80333,             0.58605,             0.30254,            0.025356,           0.0059068,           0.0093126,            0.006832,            0.006832,            0.006832
                  34,            0.033078,            0.012844,            0.012476,             0.55462,             0.83649,             0.62324,             0.34854,            0.021506,           0.0058179,           0.0094037,            0.006733,            0.006733,            0.006733
                  35,            0.035654,            0.012527,            0.014078,             0.67312,             0.83463,             0.69705,             0.43453,            0.017959,           0.0057975,            0.011871,            0.006634,            0.006634,            0.006634
                  36,            0.026335,            0.012362,            0.011156,             0.61351,              0.8247,             0.66835,             0.39332,            0.018098,           0.0057293,           0.0088184,            0.006535,            0.006535,            0.006535
                  37,            0.030152,            0.012864,            0.012628,             0.58645,             0.85532,             0.66329,             0.43338,            0.018015,           0.0054137,           0.0093496,            0.006436,            0.006436,            0.006436
                  38,            0.028576,            0.012547,             0.01128,             0.65459,                0.74,             0.69567,             0.39705,            0.021721,           0.0063051,           0.0070302,            0.006337,            0.006337,            0.006337
                  39,            0.031604,            0.013982,           0.0087637,             0.74105,             0.74667,             0.70265,             0.43943,            0.025453,           0.0061224,           0.0063968,            0.006238,            0.006238,            0.006238
                  40,            0.027856,            0.012364,           0.0086398,             0.64417,             0.72099,             0.67744,             0.43323,            0.018394,           0.0055023,           0.0080134,            0.006139,            0.006139,            0.006139
                  41,             0.03322,            0.011713,             0.01059,             0.84152,             0.79987,             0.82959,             0.49879,            0.019718,           0.0058471,           0.0051221,             0.00604,             0.00604,             0.00604
                  42,             0.02685,            0.012102,            0.008697,             0.87794,             0.82688,             0.83624,             0.48371,            0.020432,           0.0061442,           0.0089905,            0.005941,            0.005941,            0.005941
                  43,            0.034016,            0.011938,           0.0084658,             0.71751,             0.81181,             0.79294,             0.46376,            0.018308,           0.0060654,            0.010729,            0.005842,            0.005842,            0.005842
                  44,            0.028984,            0.011882,           0.0093816,             0.82294,             0.81667,             0.83132,             0.49941,            0.016273,           0.0058419,           0.0085784,            0.005743,            0.005743,            0.005743
                  45,            0.034182,            0.012212,           0.0084808,             0.73775,             0.73056,             0.78096,             0.46083,            0.018803,           0.0062521,            0.014781,            0.005644,            0.005644,            0.005644
                  46,              0.0327,            0.011858,            0.011527,             0.61562,             0.75928,               0.689,             0.38747,            0.023199,           0.0071145,            0.011341,            0.005545,            0.005545,            0.005545
                  47,            0.029259,            0.012373,           0.0081244,             0.65077,             0.79102,             0.76785,             0.48766,            0.017262,           0.0063918,           0.0083494,            0.005446,            0.005446,            0.005446
                  48,            0.029269,            0.012642,             0.00743,             0.65028,              0.7674,             0.73742,             0.47778,            0.020235,           0.0066631,           0.0070019,            0.005347,            0.005347,            0.005347
                  49,            0.032663,            0.012266,           0.0078822,             0.73999,             0.72339,             0.77287,               0.431,            0.021622,            0.005739,           0.0066425,            0.005248,            0.005248,            0.005248
                  50,             0.02817,            0.012252,           0.0069292,             0.74862,             0.70049,             0.75418,             0.50428,            0.019527,           0.0049411,           0.0069108,            0.005149,            0.005149,            0.005149
                  51,            0.026121,            0.012081,           0.0085497,             0.68586,             0.77609,             0.72738,             0.51254,            0.018453,           0.0044478,           0.0066612,             0.00505,             0.00505,             0.00505
                  52,            0.028662,            0.011821,            0.010594,             0.68841,             0.77667,             0.75222,             0.48651,            0.019912,            0.005096,           0.0064849,            0.004951,            0.004951,            0.004951
